002020220022002022	[ -6 -6  2  2 -2  2 -2  2 -2 ]
122200002020000222	[  4  4 -4 -4  0 -4  0 -4  0 ]

002020220022002022	[ -6 -6  2  2 -2  2 -2  2 -2 ]
033311113131111333	[  4  4 -4 -4  0 -4  0 -4  0 ]

002020220022002022	[ -6 -6  2  2 -2  2 -2  2 -2 ]
313221100303001122	[  4  4 -4 -4  0 -4  0 -4  0 ]

002020220022002022	[ -6 -6  2  2 -2  2 -2  2 -2 ]
332023300112121100	[  4  4 -4 -4  0 -4  0 -4  0 ]

002020220020220022	[ -6 -6  2  2 -2  2 -2  2 -2 ]
122200002020000222	[  4  4 -4 -4  0 -4  0 -4  0 ]

002020220020220022	[ -6 -6  2  2 -2  2 -2  2 -2 ]
033311113131111333	[  4  4 -4 -4  0 -4  0 -4  0 ]

002020220020220022	[ -6 -6  2  2 -2  2 -2  2 -2 ]
313221100303001122	[  4  4 -4 -4  0 -4  0 -4  0 ]

002020220020220022	[ -6 -6  2  2 -2  2 -2  2 -2 ]
332023300112121100	[  4  4 -4 -4  0 -4  0 -4  0 ]

130201230132021032	[ -6 -6  2  2 -2  2 -2  2 -2 ]
122200002020000222	[  4  4 -4 -4  0 -4  0 -4  0 ]

130201230132021032	[ -6 -6  2  2 -2  2 -2  2 -2 ]
033311113131111333	[  4  4 -4 -4  0 -4  0 -4  0 ]

130201230132021032	[ -6 -6  2  2 -2  2 -2  2 -2 ]
313221100303001122	[  4  4 -4 -4  0 -4  0 -4  0 ]

130201230132021032	[ -6 -6  2  2 -2  2 -2  2 -2 ]
332023300112121100	[  4  4 -4 -4  0 -4  0 -4  0 ]

130123020132103202	[ -6 -6  2  2 -2  2 -2  2 -2 ]
122200002020000222	[  4  4 -4 -4  0 -4  0 -4  0 ]

130123020132103202	[ -6 -6  2  2 -2  2 -2  2 -2 ]
033311113131111333	[  4  4 -4 -4  0 -4  0 -4  0 ]

130123020132103202	[ -6 -6  2  2 -2  2 -2  2 -2 ]
313221100303001122	[  4  4 -4 -4  0 -4  0 -4  0 ]

130123020132103202	[ -6 -6  2  2 -2  2 -2  2 -2 ]
332023300112121100	[  4  4 -4 -4  0 -4  0 -4  0 ]

002002020020222022	[ -6 -2  6 -2 -2 -2  2 -2 -2 ]
303022200111002220	[  4  0 -8  0  0  0 -4  0  0 ]

002002020020222022	[ -6 -2  6 -2 -2 -2  2 -2 -2 ]
332130312330111110	[  4  0 -8  0  0  0 -4  0  0 ]

002002020020222022	[ -6 -2  6 -2 -2 -2  2 -2 -2 ]
322100000122302120	[  4  0 -8  0  0  0 -4  0  0 ]

002002020020222022	[ -6 -2  6 -2 -2 -2  2 -2 -2 ]
333110001133312121	[  4  0 -8  0  0  0 -4  0  0 ]

000200220220202202	[ -6 -2  6 -2 -2 -2  2 -2 -2 ]
303022200111002220	[  4  0 -8  0  0  0 -4  0  0 ]

000200220220202202	[ -6 -2  6 -2 -2 -2  2 -2 -2 ]
332130312330111110	[  4  0 -8  0  0  0 -4  0  0 ]

000200220220202202	[ -6 -2  6 -2 -2 -2  2 -2 -2 ]
322100000122302120	[  4  0 -8  0  0  0 -4  0  0 ]

000200220220202202	[ -6 -2  6 -2 -2 -2  2 -2 -2 ]
333110001133312121	[  4  0 -8  0  0  0 -4  0  0 ]

130120223132102003	[ -6 -2  6 -2 -2 -2  2 -2 -2 ]
303022200111002220	[  4  0 -8  0  0  0 -4  0  0 ]

130120223132102003	[ -6 -2  6 -2 -2 -2  2 -2 -2 ]
332130312330111110	[  4  0 -8  0  0  0 -4  0  0 ]

130120223132102003	[ -6 -2  6 -2 -2 -2  2 -2 -2 ]
322100000122302120	[  4  0 -8  0  0  0 -4  0  0 ]

130120223132102003	[ -6 -2  6 -2 -2 -2  2 -2 -2 ]
333110001133312121	[  4  0 -8  0  0  0 -4  0  0 ]

